date,Average_Adjusted,perc_change
2020-08-04,77.55669832229614,-10.676376878459575
2020-08-05,78.73938232287765,-9.314255717746784
2020-08-06,78.35789835080504,-9.753618548881192
2020-08-07,79.08562391251326,-8.915482253550419
2020-08-10,79.41290717944503,-8.538543474285806
2020-08-11,78.90492858737707,-9.123592725907244
2020-08-12,79.69355886429548,-8.215311234282103
2020-08-13,80.11229776218534,-7.7330411491631015
2020-08-14,79.31242229416966,-8.654273955545444
2020-08-17,80.00323398411274,-7.8586521153272875
2020-08-18,80.30100112780929,-7.515707654089416
2020-08-19,80.06052198261023,-7.792672365055921
2020-08-20,79.92875333875418,-7.94443298583586
2020-08-21,79.93585630506277,-7.936252355415554
2020-08-24,80.59673284366727,-7.175107436393057
2020-08-25,82.00602750852704,-5.551994175588572
2020-08-26,81.51334737613797,-6.119423880784523
2020-08-27,82.7304363436997,-4.717677821506824
2020-08-28,83.58564119413495,-3.7327210427313213
2020-08-31,83.57474927976727,-3.7452654815109003
2020-09-01,84.01891885697842,-3.233706367016516
2020-09-02,85.15672288835049,-1.9232743774789907
2020-09-03,83.01133672893047,-4.3941591482288445
2020-09-04,82.39631263911724,-5.102494871609587
2020-09-08,80.28858209773898,-7.530010903009647
2020-09-09,82.34862161800265,-5.157421588301654
2020-09-10,81.0816332809627,-6.616637763890303
2020-09-11,80.80101202055812,-6.939834963442373
2020-09-14,81.60876892134547,-6.009524951018717
2020-09-15,81.6852828413248,-5.921402316873254
2020-09-16,80.49520240724087,-7.292042100128095
2020-09-17,80.35839189589024,-7.44960954200353
2020-09-18,78.91814960539341,-9.108365811196835
2020-09-21,76.84780092164874,-11.492828398663917
2020-09-22,78.12124891206622,-10.026172509210802
2020-09-23,77.09175483882427,-11.211861722307269
2020-09-24,76.62686176225543,-11.747288511501965
2020-09-25,78.47319097444415,-9.620833694891699
2020-09-28,79.62287588045001,-8.29671826096962
2020-09-29,79.61679000779986,-8.303727483986158
2020-09-30,80.87211675569415,-6.857942197235976
2020-10-01,80.46654031798244,-7.325052809894992
2020-10-02,79.63223333284259,-8.285941093181751
2020-10-05,80.9871327392757,-6.725475955213945
2020-10-06,80.48622293397784,-7.302383941683073
2020-10-07,82.16239099577069,-5.371907174637598
2020-10-08,82.44905956089497,-5.041745171537061
2020-10-09,83.73438413441181,-3.5614107803466655
2020-10-12,84.85178165510297,-2.2744813832185393
2020-10-13,83.629019908607,-3.6827608970982926
2020-10-14,83.21209522336721,-4.162941516696947
2020-10-15,82.84851982071996,-4.581678685050458
2020-10-16,83.48870914429426,-3.8443596513320557
2020-10-19,81.92577140778303,-5.644426755251409
2020-10-20,82.6563575156033,-4.8029959109214815
2020-10-21,82.76633863523602,-4.676328423869186
2020-10-22,83.48811029270291,-3.845049360860806
2020-10-23,83.29135992005467,-4.071650757202115
2020-10-26,81.55757074430585,-6.068490930351575
2020-10-27,81.14920337498188,-6.538815915577806
2020-10-28,78.34374536573887,-9.769918828952969
2020-10-29,78.71271406114101,-9.344970095901077
2020-10-30,77.2956780642271,-10.976999205907767
2020-11-02,78.03696386516094,-10.123245307916884
2020-11-03,78.52253906428814,-9.563998498521238
2020-11-04,79.60501970350742,-8.317283582265054
2020-11-05,80.59433965757489,-7.177863717374578
2020-11-06,80.91210208833218,-6.8118902783145945
2020-11-09,85.5737742036581,-1.4429479154618357
2020-11-10,85.04731561616063,-2.0492809527876896
2020-11-11,83.99649812653661,-3.2595287771940518
2020-11-12,83.92054151371121,-3.347009549382284
2020-11-13,85.43745281174779,-1.5999520285533821
2020-11-16,86.87719892337918,0.05823278137288988
2020-11-17,85.40027879551053,-1.6427660973330012
2020-11-18,84.62091966718435,-2.5403698190082786
2020-11-19,84.61662336438894,-2.54531795811186
2020-11-20,84.32508131116629,-2.8810928563407874
2020-11-23,83.93013643100858,-3.335958888445295
2020-11-24,84.94715951755643,-2.164632763766906
2020-11-25,84.35861345380545,-2.842473207279515
2020-11-27,84.93449121341109,-2.1792231066972434
2020-11-30,84.57995542511344,-2.587549167786073
2020-12-01,84.98027860745788,-2.126488835924701
2020-12-02,87.37900480255485,0.6361727943088755
2020-12-03,87.45452743396163,0.7231537412915974
2020-12-04,88.6626555621624,2.114579420057427
2020-12-07,95.06151250749826,9.484272799971674
2020-12-08,93.43165075033903,7.60712794355055
2020-12-09,91.2676362246275,5.114788505363987
2020-12-10,91.47009847313166,5.3479683850253465
2020-12-11,91.70625028759241,5.619949221376864
2020-12-14,91.14372570067644,4.972078240723768
2020-12-15,92.2293436229229,6.222406429499369
2020-12-16,92.13914180546999,6.118519166099384
2020-12-17,93.29200632125139,7.446296621115812
2020-12-18,94.12435112148523,8.404925016232623
2020-12-21,93.3295464888215,7.489532393814871
2020-12-22,94.53375974297523,8.876449232705994
2020-12-23,95.16312221437693,9.601298761095016
2020-12-24,94.70793155580759,9.07704644357721
2020-12-28,94.5486567094922,8.893606371310407
2020-12-29,97.0838246718049,11.81341075331725
2020-12-30,95.08057178556919,9.506223757248135
2020-12-31,95.60834346711636,10.114069111634347
2021-01-04,94.21456550061703,8.508826747173064
2021-01-05,94.92953258752823,9.33226884820436
2021-01-06,95.10576163977385,9.535235423450231
2021-01-07,95.9655988663435,10.52552740381292
2021-01-08,96.26360894739628,10.868751660933281
2021-01-11,96.59456397593021,11.249919282536965
2021-01-12,95.67555277049541,10.191475430046001
2021-01-13,96.78310897946358,11.467070388777675
2021-01-14,97.42113807797432,12.201901447458338
2021-01-15,95.20995762944221,9.655240058939436
2021-01-19,96.40597751736641,11.032720431696552
2021-01-20,139.36183628439903,60.50585456929921
2021-01-21,119.95147255063057,38.15054481124169
2021-01-22,122.95696794986725,41.6120348455301
2021-01-25,120.30526795983315,38.55801816270406
2021-01-26,119.03481331467628,37.09480976972406
2021-01-27,116.64741316437721,34.34519257509527
2021-01-28,113.86968731880188,31.14602935731548
2021-01-29,111.63368141651154,28.570775989982483
2021-02-01,111.87021419405937,28.84319558925132
2021-02-02,110.37940207123756,27.126197018082433
2021-02-03,111.04385298490524,27.891458617391034
2021-02-04,112.63670128583908,29.725974325256043
2021-02-05,112.55199414491653,29.62841539230578
2021-02-08,116.67423689365387,34.376086008369924
2021-02-09,116.4037926197052,34.06460985061522
2021-02-10,120.21764427423477,38.45710018607251
2021-02-11,118.23954856395721,36.17888722000595
2021-02-12,119.49791193008423,37.62816984158924
2021-02-16,116.55923306941986,34.24363377051517
2021-02-17,113.43926537036896,30.650303665831153
2021-02-18,113.55657982826233,30.7854171073553
2021-02-19,112.65174347162247,29.743298715836158
2021-02-22,113.10805368423462,30.268840446461382
2021-02-23,110.96106934547424,27.79611502013738
2021-02-24,112.33602225780487,29.379676187742916
2021-02-25,109.21731501817703,25.78779777975179
2021-02-26,106.59567484259605,22.76840159515991
2021-03-01,108.87148889899254,25.389502821304085
2021-03-02,108.00817322731018,24.39520464512572
2021-03-03,104.41726815700531,20.25948641441643
2021-03-04,99.12349247932434,14.162537553105583
2021-03-05,101.61823254823685,17.03578030998148
2021-03-08,101.72837430238724,17.16263280306713
2021-03-09,105.99666434526443,22.07850905116395
2021-03-10,108.21366137266159,24.631869511582998
2021-03-11,110.40513598918915,27.15583529354119
2021-03-12,109.4223113656044,26.02389623256113
2021-03-15,108.97492069005966,25.508627313758264
2021-03-16,108.56957617402077,25.04178380999564
2021-03-17,107.83567160367966,24.196531025047218
2021-03-18,105.99287569522858,22.07414558604407
2021-03-19,107.823217689991,24.182187599955924
2021-03-22,106.52135795354843,22.682809326117344
2021-03-23,103.07730469107628,18.71622330218478
2021-03-24,102.50744852423668,18.059908392172257
2021-03-25,103.41883859038353,19.109574823908606
2021-03-26,105.48322039842606,21.487165239558674
2021-03-29,103.84028735756874,19.59496592047966
2021-03-30,103.71408885717392,19.449620546944978
2021-03-31,104.88719177246094,20.800706977319155
2021-04-01,105.90867233276367,21.97716686496539
2021-04-05,106.97578099370003,23.206177561928083
2021-04-06,108.2877305150032,24.71717644571735
2021-04-07,106.27764320373535,22.402118103664858
2021-04-08,107.76422661542892,24.114246382424717
2021-04-09,107.7418192923069,24.088439413729418
2021-04-12,106.5207594037056,22.68211996411848
2021-04-13,106.00616425275803,22.089450287382142
2021-04-14,105.14035043120384,21.092274941307704
2021-04-15,104.98869453370571,20.91760976698597
2021-04-16,106.09400987625122,22.190623874390386
2021-04-19,106.4370382130146,22.585696570055312
2021-04-20,108.03630155324936,24.42760060884751
2021-04-21,113.20594030618668,30.381578455131514
2021-04-22,111.63026611506939,28.56684251801341
2021-04-23,113.04408510029316,30.195166530381805
2021-04-26,112.20507609844208,29.228862839042474
2021-04-27,111.85308066010475,28.82346255054791
2021-04-28,112.56786665320396,29.64669608216145
2021-04-29,112.2954178750515,29.33291129624285
2021-04-30,112.1099197268486,29.119269315108443
2021-05-03,112.09239637851715,29.09908731927771
2021-05-04,110.91135711967945,27.738860441003883
2021-05-05,109.16168630123138,25.72372905771132
2021-05-06,107.41771160066128,23.715158008955857
2021-05-07,109.31598661839962,25.9014398638237
2021-05-10,112.74500705301762,29.850712274893127
2021-05-11,112.64969669282436,29.740941399164228
2021-05-12,112.92787669599056,30.06132695322053
2021-05-13,109.53451557457447,26.153124096710833
2021-05-14,109.22161570191383,25.792750964474465
2021-05-17,108.39692947268486,24.842943100980154
2021-05-18,111.22672292590141,28.102073638957837
2021-05-19,110.57460907101631,27.35102088057415
2021-05-20,110.60373055934906,27.38456068957637
2021-05-21,115.27618277072906,32.76591870778809
2021-05-24,118.87790551781654,36.91409587634392
2021-05-25,115.21858897805214,32.69958676815555
2021-05-26,114.63929870724678,32.032406409183025
2021-05-27,113.91206696629524,31.194838857237585
2021-05-28,113.97511193156242,31.26744902294931
2021-06-01,114.42540836334229,31.7860645601674
2021-06-02,111.89778572320938,28.874950278813344
2021-06-03,111.22949543595314,28.105266795040006
2021-06-04,112.87084415555,29.995641419176692
2021-06-07,114.15422043204308,31.473731917152904
2021-06-08,113.31322872638702,30.505144705611343
2021-06-09,115.85911107063293,33.43728905869077
